replicate,category,compatible,pool,tv_product,tv_atom,gap_clean_product,exact_pmf,product_pmf,atom_pmf
29,nested_compatible,1,12,0.4013451687963149,0.0,0.2006725843981575,"[0.0, 1.0, 0.0]","[0.2006725843981575, 0.5986548312036851, 0.2006725843981574]","[0.0, 1.0, 0.0]"
29,crossing_nonlaminar,0,19,0.2777304644234043,0.0,0.0,"[0.0, 0.0, 1.0, 0.0]","[0.0, 0.13886523221170224, 0.7222695355765957, 0.13886523221170216]","[0.0, 0.0, 1.0, 0.0]"
30,disjoint,1,192,9.020562075079397e-17,0.0,5.551115123125783e-17,"[0.35667082875649314, 0.5850498725134431, 0.058279298730063725]","[0.3566708287564932, 0.5850498725134432, 0.05827929873006374]","[0.35667082875649314, 0.5850498725134431, 0.058279298730063725]"
30,observed_node,1,15,0.0,0.0,0.0,"[1.0, 0.0, 0.0, 0.0, 0.0]","[1.0, 0.0, 0.0, 0.0, 0.0]","[1.0, 0.0, 0.0, 0.0, 0.0]"
30,nested_compatible,1,12,0.0,0.0,0.0,"[1.0, 0.0, 0.0]","[1.0, 0.0, 0.0]","[1.0, 0.0, 0.0]"
30,crossing_nonlaminar,0,19,1.3877787807814457e-17,0.0,0.0,"[0.7518935108524316, 0.24810648914756844, 0.0, 0.0]","[0.7518935108524316, 0.24810648914756842, 0.0, 0.0]","[0.7518935108524316, 0.24810648914756844, 0.0, 0.0]"
31,disjoint,1,192,2.7755575615628914e-17,6.245004513516506e-17,-5.551115123125783e-17,"[0.43704333741314627, 0.5001180928738103, 0.06283856971304351]","[0.4370433374131462, 0.5001180928738103, 0.06283856971304351]","[0.43704333741314627, 0.5001180928738104, 0.06283856971304352]"
31,observed_node,1,15,0.42330389828891746,0.0,0.21165194914445876,"[0.0, 1.0, 0.0, 0.0, 0.0]","[0.21165194914445876, 0.5766961017110825, 0.21165194914445876, 0.0, 0.0]","[0.0, 1.0, 0.0, 0.0, 0.0]"
31,nested_compatible,1,12,0.0,0.0,0.0,"[1.0, 0.0, 0.0]","[1.0, 0.0, 0.0]","[1.0, 0.0, 0.0]"
31,crossing_nonlaminar,0,19,0.21904783513203752,8.326672684688674e-17,0.1435665947588321,"[0.0, 0.6783145411093929, 0.3216854588906072, 0.0]","[0.1435665947588321, 0.4592667059773554, 0.32908134487818597, 0.06808535438562666]","[0.0, 0.6783145411093928, 0.3216854588906071, 0.0]"
32,disjoint,1,192,8.326672684688674e-17,2.7755575615628914e-17,5.551115123125783e-17,"[0.3633763335869423, 0.5667106824842442, 0.06991298392881345]","[0.3633763335869424, 0.5667106824842443, 0.06991298392881345]","[0.3633763335869424, 0.5667106824842442, 0.06991298392881345]"
32,observed_node,1,15,0.25455016155709576,0.0,0.0,"[0.0, 0.0, 0.0, 1.0, 0.0]","[0.0, 0.0, 0.12727508077854785, 0.7454498384429042, 0.12727508077854782]","[0.0, 0.0, 0.0, 1.0, 0.0]"
32,nested_compatible,1,12,0.25455016155709576,0.0,0.12727508077854785,"[0.0, 1.0, 0.0]","[0.12727508077854785, 0.7454498384429042, 0.12727508077854782]","[0.0, 1.0, 0.0]"
32,crossing_nonlaminar,0,19,1.249000902703301e-16,1.249000902703301e-16,0.0,"[0.0, 0.0, 0.7882011265636788, 0.211798873436321]","[0.0, 0.0, 0.788201126563679, 0.21179887343632103]","[0.0, 0.0, 0.788201126563679, 0.21179887343632103]"
33,disjoint,1,192,2.7755575615628914e-17,2.7755575615628914e-17,-2.7755575615628914e-17,"[0.1838098265382562, 0.5695512291907797, 0.24663894427096408]","[0.18380982653825617, 0.5695512291907797, 0.2466389442709641]","[0.18380982653825617, 0.5695512291907797, 0.2466389442709641]"
33,observed_node,1,15,0.4894862836362335,0.0,0.24474314181811674,"[0.0, 1.0, 0.0, 0.0, 0.0]","[0.24474314181811674, 0.5105137163637665, 0.24474314181811674, 0.0, 0.0]","[0.0, 1.0, 0.0, 0.0, 0.0]"
33,nested_compatible,1,12,0.0,0.0,0.0,"[1.0, 0.0, 0.0]","[1.0, 0.0, 0.0]","[1.0, 0.0, 0.0]"
33,crossing_nonlaminar,0,19,0.4038763426748355,6.938893903907228e-18,0.2162064948309841,"[0.0, 0.8834016480496931, 0.11659835195030693, 0.0]","[0.2162064948309841, 0.4795253053748576, 0.2757315528070257, 0.028536646987132656]","[0.0, 0.8834016480496931, 0.11659835195030692, 0.0]"
34,disjoint,1,192,8.326672684688674e-17,8.326672684688674e-17,-2.7755575615628914e-17,"[0.24521691061226583, 0.5474730828627539, 0.20731000652498022]","[0.2452169106122658, 0.547473082862754, 0.20731000652498024]","[0.2452169106122658, 0.547473082862754, 0.20731000652498024]"
34,observed_node,1,15,0.531991682828059,0.0,0.03146706401207806,"[0.0, 0.0, 1.0, 0.0, 0.0]","[0.03146706401207806, 0.2345287774019515, 0.46800831717194097, 0.2345287774019514, 0.03146706401207805]","[0.0, 0.0, 1.0, 0.0, 0.0]"
34,nested_compatible,1,12,0.2970111858860143,0.0,0.14850559294300714,"[0.0, 1.0, 0.0]","[0.14850559294300714, 0.7029888141139857, 0.14850559294300716]","[0.0, 1.0, 0.0]"
34,crossing_nonlaminar,0,19,0.4237828810145131,0.0,0.0,"[0.0, 0.0, 1.0, 0.0]","[0.0, 0.21189144050725656, 0.5762171189854869, 0.2118914405072565]","[0.0, 0.0, 1.0, 0.0]"
35,disjoint,1,192,1.249000902703301e-16,8.326672684688674e-17,0.0,"[0.29555103371049357, 0.535364849143049, 0.16908411714645757]","[0.29555103371049357, 0.5353648491430488, 0.16908411714645755]","[0.2955510337104936, 0.5353648491430489, 0.16908411714645757]"
35,observed_node,1,15,0.0,0.0,0.0,"[0.0, 0.0, 1.0, 0.0, 0.0]","[0.0, 0.0, 1.0, 0.0, 0.0]","[0.0, 0.0, 1.0, 0.0, 0.0]"
35,nested_compatible,1,12,0.0,0.0,0.0,"[0.0, 0.0, 1.0]","[0.0, 0.0, 1.0]","[0.0, 0.0, 1.0]"
35,crossing_nonlaminar,0,19,0.0,0.0,0.0,"[0.0, 1.0, 0.0, 0.0]","[0.0, 1.0, 0.0, 0.0]","[0.0, 1.0, 0.0, 0.0]"
36,disjoint,1,192,9.71445146547012e-17,9.71445146547012e-17,2.7755575615628914e-17,"[0.16040709655383473, 0.5959506530834481, 0.243642250362717]","[0.16040709655383475, 0.5959506530834482, 0.24364225036271706]","[0.16040709655383475, 0.5959506530834482, 0.24364225036271706]"
36,observed_node,1,15,0.36667801529528243,0.0,0.0,"[0.0, 0.0, 0.0, 1.0, 0.0]","[0.0, 0.0, 0.18333900764764124, 0.6333219847047176, 0.18333900764764124]","[0.0, 0.0, 0.0, 1.0, 0.0]"
36,nested_compatible,1,12,0.36667801529528243,0.0,0.18333900764764124,"[0.0, 1.0, 0.0]","[0.18333900764764124, 0.6333219847047176, 0.18333900764764124]","[0.0, 1.0, 0.0]"
36,crossing_nonlaminar,0,19,5.551115123125783e-17,8.326672684688674e-17,0.0,"[0.0, 0.0, 0.42087230024646116, 0.5791276997535387]","[0.0, 0.0, 0.42087230024646116, 0.5791276997535388]","[0.0, 0.0, 0.4208723002464612, 0.5791276997535388]"
37,disjoint,1,192,8.326672684688674e-17,5.551115123125783e-17,-5.551115123125783e-17,"[0.34179506593858444, 0.4901670755216141, 0.16803785853980152]","[0.3417950659385844, 0.490167075521614, 0.16803785853980152]","[0.3417950659385844, 0.49016707552161404, 0.16803785853980152]"
37,observed_node,1,15,0.38266948455928207,0.0,0.19133474227964103,"[0.0, 1.0, 0.0, 0.0, 0.0]","[0.19133474227964103, 0.6173305154407178, 0.19133474227964103, 0.0, 0.0]","[0.0, 1.0, 0.0, 0.0, 0.0]"
37,nested_compatible,1,12,0.0,0.0,0.0,"[1.0, 0.0, 0.0]","[1.0, 0.0, 0.0]","[1.0, 0.0, 0.0]"
37,crossing_nonlaminar,0,19,0.38266948455928207,0.0,0.19133474227964103,"[0.0, 1.0, 0.0, 0.0]","[0.19133474227964103, 0.6173305154407178, 0.19133474227964103, 0.0]","[0.0, 1.0, 0.0, 0.0]"
38,disjoint,1,192,5.551115123125783e-17,5.551115123125783e-17,0.0,"[0.33045122362783036, 0.5399982931459176, 0.12955048322625193]","[0.33045122362783036, 0.5399982931459177, 0.12955048322625193]","[0.33045122362783036, 0.5399982931459177, 0.12955048322625193]"
38,observed_node,1,15,0.28367560408478665,0.0,0.14183780204239327,"[0.0, 1.0, 0.0, 0.0, 0.0]","[0.14183780204239327, 0.7163243959152134, 0.14183780204239335, 0.0, 0.0]","[0.0, 1.0, 0.0, 0.0, 0.0]"
38,nested_compatible,1,12,0.28367560408478665,0.0,0.14183780204239327,"[0.0, 1.0, 0.0]","[0.14183780204239327, 0.7163243959152134, 0.14183780204239335]","[0.0, 1.0, 0.0]"
38,crossing_nonlaminar,0,19,0.0,0.0,0.0,"[1.0, 0.0, 0.0, 0.0]","[1.0, 0.0, 0.0, 0.0]","[1.0, 0.0, 0.0, 0.0]"
39,disjoint,1,192,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,"[0.26473871878558464, 0.4996958916904886, 0.23556538952392675]","[0.2647387187855847, 0.49969589169048856, 0.23556538952392675]","[0.2647387187855847, 0.49969589169048856, 0.23556538952392675]"
39,observed_node,1,15,0.4904996589591466,0.0,0.02534575927019839,"[0.0, 0.0, 1.0, 0.0, 0.0]","[0.02534575927019839, 0.21990407020937486, 0.5095003410408534, 0.21990407020937489, 0.025345759270198404]","[0.0, 0.0, 1.0, 0.0, 0.0]"
39,nested_compatible,1,12,0.27836429016348585,0.0,0.13918214508174287,"[0.0, 1.0, 0.0]","[0.13918214508174287, 0.7216357098365141, 0.13918214508174295]","[0.0, 1.0, 0.0]"
39,crossing_nonlaminar,0,19,0.302526269248394,5.551115123125783e-17,0.16154374381893982,"[0.0, 0.887091388723649, 0.11290861127635109, 0.0]","[0.16154374381893982, 0.584565119475255, 0.23332991831631947, 0.020561218389485724]","[0.0, 0.8870913887236489, 0.11290861127635109, 0.0]"
40,disjoint,1,192,1.5265566588595902e-16,1.5265566588595902e-16,2.7755575615628914e-17,"[0.19336974936523996, 0.5572984499673334, 0.24933180066742636]","[0.19336974936523998, 0.5572984499673336, 0.2493318006674264]","[0.19336974936523998, 0.5572984499673336, 0.2493318006674264]"
40,observed_node,1,15,0.2980698180457132,0.0,0.005321383640825671,"[0.0, 0.0, 1.0, 0.0, 0.0]","[0.005321383640825671, 0.14371352538203097, 0.7019301819542869, 0.143713525382031, 0.005321383640825672]","[0.0, 0.0, 1.0, 0.0, 0.0]"
40,nested_compatible,1,12,0.24206497471665855,0.0,0.12103248735832926,"[0.0, 1.0, 0.0]","[0.12103248735832926, 0.7579350252833414, 0.1210324873583293]","[0.0, 1.0, 0.0]"
40,crossing_nonlaminar,0,19,0.07697213879930041,6.245004513516506e-17,0.04031290379543496,"[0.0, 0.9168989398857676, 0.08310106011423225, 0.0]","[0.04031290379543496, 0.8399268010864673, 0.1161066263265284, 0.0036536687915694043]","[0.0, 0.9168989398857678, 0.08310106011423227, 0.0]"
41,disjoint,1,192,2.7755575615628914e-17,2.7755575615628914e-17,0.0,"[0.18330865891513684, 0.5000725979234479, 0.3166187431614153]","[0.18330865891513684, 0.5000725979234479, 0.31661874316141525]","[0.18330865891513684, 0.5000725979234479, 0.31661874316141525]"
41,observed_node,1,15,0.38458506456593367,0.0,0.19229253228296683,"[0.0, 1.0, 0.0, 0.0, 0.0]","[0.19229253228296683, 0.6154149354340663, 0.19229253228296683, 0.0, 0.0]","[0.0, 1.0, 0.0, 0.0, 0.0]"
41,nested_compatible,1,12,0.38458506456593367,0.0,0.19229253228296683,"[0.0, 1.0, 0.0]","[0.19229253228296683, 0.6154149354340663, 0.19229253228296683]","[0.0, 1.0, 0.0]"
41,crossing_nonlaminar,0,19,0.0,0.0,0.0,"[1.0, 0.0, 0.0, 0.0]","[1.0, 0.0, 0.0, 0.0]","[1.0, 0.0, 0.0, 0.0]"
42,disjoint,1,192,0.0,0.0,0.0,"[0.2067584360490366, 0.5062059067390354, 0.287035657211928]","[0.2067584360490366, 0.5062059067390354, 0.287035657211928]","[0.2067584360490366, 0.5062059067390354, 0.287035657211928]"
42,observed_node,1,15,0.0,0.0,0.0,"[0.0, 0.0, 1.0, 0.0, 0.0]","[0.0, 0.0, 1.0, 0.0, 0.0]","[0.0, 0.0, 1.0, 0.0, 0.0]"
42,nested_compatible,1,12,0.0,0.0,0.0,"[0.0, 0.0, 1.0]","[0.0, 0.0, 1.0]","[0.0, 0.0, 1.0]"
42,crossing_nonlaminar,0,19,8.326672684688674e-17,0.0,-5.551115123125783e-17,"[0.2874291877195115, 0.7125708122804885, 0.0, 0.0]","[0.2874291877195114, 0.7125708122804886, 0.0, 0.0]","[0.2874291877195115, 0.7125708122804885, 0.0, 0.0]"
43,disjoint,1,192,4.163336342344337e-17,4.163336342344337e-17,2.7755575615628914e-17,"[0.12041867535001971, 0.5512162341620895, 0.32836509048789064]","[0.12041867535001974, 0.5512162341620895, 0.3283650904878907]","[0.12041867535001974, 0.5512162341620895, 0.3283650904878907]"
43,observed_node,1,15,0.3992715323420991,0.0,0.19963576617104956,"[0.0, 1.0, 0.0, 0.0, 0.0]","[0.19963576617104956, 0.6007284676579008, 0.19963576617104953, 0.0, 0.0]","[0.0, 1.0, 0.0, 0.0, 0.0]"
43,nested_compatible,1,12,0.3992715323420991,0.0,0.19963576617104956,"[0.0, 1.0, 0.0]","[0.19963576617104956, 0.6007284676579008, 0.19963576617104953]","[0.0, 1.0, 0.0]"
43,crossing_nonlaminar,0,19,0.0,0.0,0.0,"[1.0, 0.0, 0.0, 0.0]","[1.0, 0.0, 0.0, 0.0]","[1.0, 0.0, 0.0, 0.0]"
44,disjoint,1,192,2.7755575615628914e-17,2.7755575615628914e-17,0.0,"[0.3569624343812694, 0.4909738978489177, 0.15206366776981295]","[0.3569624343812694, 0.49097389784891765, 0.15206366776981295]","[0.3569624343812694, 0.49097389784891765, 0.15206366776981295]"
44,observed_node,1,15,0.4346012361647157,0.0,0.0,"[0.0, 0.0, 0.0, 1.0, 0.0]","[0.0, 0.0, 0.2173006180823578, 0.5653987638352843, 0.21730061808235787]","[0.0, 0.0, 0.0, 1.0, 0.0]"
44,nested_compatible,1,12,0.0,0.0,0.0,"[0.0, 0.0, 1.0]","[0.0, 0.0, 1.0]","[0.0, 0.0, 1.0]"
44,crossing_nonlaminar,0,19,0.4346012361647157,0.0,0.2173006180823578,"[0.0, 1.0, 0.0, 0.0]","[0.2173006180823578, 0.5653987638352843, 0.21730061808235787, 0.0]","[0.0, 1.0, 0.0, 0.0]"
45,disjoint,1,192,2.7755575615628914e-17,2.7755575615628914e-17,0.0,"[0.041359945722818224, 0.32465174405034036, 0.6339883102268414]","[0.041359945722818224, 0.3246517440503403, 0.6339883102268414]","[0.041359945722818224, 0.3246517440503403, 0.6339883102268414]"
45,observed_node,1,15,0.07258926442259772,0.0,0.03629463221129883,"[0.0, 1.0, 0.0, 0.0, 0.0]","[0.03629463221129883, 0.9274107355774023, 0.036294632211298895, 0.0, 0.0]","[0.0, 1.0, 0.0, 0.0, 0.0]"
45,nested_compatible,1,12,0.07258926442259772,0.0,0.03629463221129883,"[0.0, 1.0, 0.0]","[0.03629463221129883, 0.9274107355774023, 0.036294632211298895]","[0.0, 1.0, 0.0]"
45,crossing_nonlaminar,0,19,5.551115123125783e-17,5.551115123125783e-17,-1.1102230246251565e-16,"[0.9076141181384483, 0.09238588186155183, 0.0, 0.0]","[0.9076141181384482, 0.09238588186155183, 0.0, 0.0]","[0.9076141181384482, 0.09238588186155183, 0.0, 0.0]"
46,disjoint,1,192,0.0,0.0,0.0,"[0.07113496204814679, 0.40226914243223644, 0.5265958955196167]","[0.07113496204814679, 0.40226914243223644, 0.5265958955196167]","[0.07113496204814679, 0.40226914243223644, 0.5265958955196167]"
46,observed_node,1,15,0.2823604911625135,0.0,0.0,"[0.0, 0.0, 0.0, 1.0, 0.0]","[0.0, 0.0, 0.14118024558125672, 0.7176395088374865, 0.14118024558125677]","[0.0, 0.0, 0.0, 1.0, 0.0]"
46,nested_compatible,1,12,0.0,0.0,0.0,"[0.0, 0.0, 1.0]","[0.0, 0.0, 1.0]","[0.0, 0.0, 1.0]"
46,crossing_nonlaminar,0,19,0.2823604911625135,0.0,0.14118024558125672,"[0.0, 1.0, 0.0, 0.0]","[0.14118024558125672, 0.7176395088374865, 0.14118024558125677, 0.0]","[0.0, 1.0, 0.0, 0.0]"
47,disjoint,1,192,5.551115123125783e-17,3.122502256758253e-17,-1.1102230246251565e-16,"[0.6320887975091949, 0.3304707873811381, 0.03744041510966702]","[0.6320887975091948, 0.3304707873811381, 0.03744041510966702]","[0.6320887975091949, 0.33047078738113816, 0.03744041510966703]"
47,observed_node,1,15,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 1.0]","[0.0, 0.0, 0.0, 0.0, 1.0]","[0.0, 0.0, 0.0, 0.0, 1.0]"
47,nested_compatible,1,12,0.0,0.0,0.0,"[0.0, 0.0, 1.0]","[0.0, 0.0, 1.0]","[0.0, 0.0, 1.0]"
47,crossing_nonlaminar,0,19,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 1.0]","[0.0, 0.0, 0.0, 1.0]","[0.0, 0.0, 0.0, 1.0]"
48,disjoint,1,192,0.0,9.71445146547012e-17,0.0,"[0.3308142384966685, 0.5099964792356352, 0.15918928226769624]","[0.3308142384966685, 0.5099964792356352, 0.15918928226769624]","[0.3308142384966686, 0.5099964792356353, 0.15918928226769627]"
48,observed_node,1,15,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 1.0]","[0.0, 0.0, 0.0, 0.0, 1.0]","[0.0, 0.0, 0.0, 0.0, 1.0]"
48,nested_compatible,1,12,0.0,0.0,0.0,"[0.0, 0.0, 1.0]","[0.0, 0.0, 1.0]","[0.0, 0.0, 1.0]"
48,crossing_nonlaminar,0,19,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 1.0]","[0.0, 0.0, 0.0, 1.0]","[0.0, 0.0, 0.0, 1.0]"
49,disjoint,1,192,1.3877787807814457e-17,1.3877787807814457e-17,0.0,"[0.2719930009865489, 0.5548539750749649, 0.17315302393848622]","[0.2719930009865489, 0.5548539750749649, 0.17315302393848625]","[0.2719930009865489, 0.5548539750749649, 0.17315302393848625]"
49,observed_node,1,15,0.44990973925029815,0.0,0.02031025911565478,"[0.0, 0.0, 1.0, 0.0, 0.0]","[0.02031025911565478, 0.20464461050949428, 0.5500902607497018, 0.20464461050949426, 0.020310259115654775]","[0.0, 0.0, 1.0, 0.0, 0.0]"
49,nested_compatible,1,12,0.26375949317067904,0.0,0.13187974658533952,"[0.0, 1.0, 0.0]","[0.13187974658533952, 0.736240506829321, 0.13187974658533952]","[0.0, 1.0, 0.0]"
49,crossing_nonlaminar,0,19,0.30801180077354773,0.0,0.15400590038677386,"[0.0, 1.0, 0.0, 0.0]","[0.15400590038677386, 0.6919881992264523, 0.15400590038677384, 0.0]","[0.0, 1.0, 0.0, 0.0]"
50,disjoint,1,192,6.938893903907228e-17,6.938893903907228e-17,-2.7755575615628914e-17,"[0.23338161144356576, 0.6156044075373449, 0.15101398101908944]","[0.23338161144356573, 0.6156044075373448, 0.15101398101908944]","[0.23338161144356573, 0.6156044075373448, 0.15101398101908944]"
50,observed_node,1,15,0.0,0.0,0.0,"[1.0, 0.0, 0.0, 0.0, 0.0]","[1.0, 0.0, 0.0, 0.0, 0.0]","[1.0, 0.0, 0.0, 0.0, 0.0]"
50,nested_compatible,1,12,0.0,0.0,0.0,"[1.0, 0.0, 0.0]","[1.0, 0.0, 0.0]","[1.0, 0.0, 0.0]"
50,crossing_nonlaminar,0,19,6.245004513516506e-17,5.898059818321144e-17,-1.1102230246251565e-16,"[0.9430930731516293, 0.05690692684837089, 0.0, 0.0]","[0.9430930731516292, 0.05690692684837088, 0.0, 0.0]","[0.9430930731516292, 0.056906926848370884, 0.0, 0.0]"
51,disjoint,1,192,1.3877787807814457e-17,1.3877787807814457e-17,0.0,"[0.14038884566821766, 0.6320829565789294, 0.2275281977528529]","[0.14038884566821766, 0.6320829565789294, 0.22752819775285293]","[0.14038884566821766, 0.6320829565789294, 0.22752819775285293]"
51,observed_node,1,15,0.296529883484964,0.0,0.0,"[0.0, 0.0, 0.0, 1.0, 0.0]","[0.0, 0.0, 0.14826494174248195, 0.703470116515036, 0.14826494174248203]","[0.0, 0.0, 0.0, 1.0, 0.0]"
51,nested_compatible,1,12,0.296529883484964,0.0,0.14826494174248195,"[0.0, 1.0, 0.0]","[0.14826494174248195, 0.703470116515036, 0.14826494174248203]","[0.0, 1.0, 0.0]"
51,crossing_nonlaminar,0,19,6.245004513516506e-17,6.245004513516506e-17,0.0,"[0.0, 0.0, 0.8951251314140733, 0.10487486858592654]","[0.0, 0.0, 0.8951251314140735, 0.10487486858592655]","[0.0, 0.0, 0.8951251314140735, 0.10487486858592655]"
52,disjoint,1,192,4.163336342344337e-17,4.163336342344337e-17,2.7755575615628914e-17,"[0.2013327732689629, 0.49478230339681656, 0.30388492333422046]","[0.20133277326896293, 0.4947823033968166, 0.30388492333422046]","[0.20133277326896293, 0.4947823033968166, 0.30388492333422046]"
52,observed_node,1,15,0.3418547570355167,0.0,0.00893696768600325,"[0.0, 0.0, 1.0, 0.0, 0.0]","[0.00893696768600325, 0.16199041083175508, 0.6581452429644833, 0.16199041083175517, 0.008936967686003258]","[0.0, 0.0, 1.0, 0.0, 0.0]"
52,nested_compatible,1,12,0.2556395532070955,0.0,0.1278197766035477,"[0.0, 1.0, 0.0]","[0.1278197766035477, 0.7443604467929045, 0.1278197766035478]","[0.0, 1.0, 0.0]"
52,crossing_nonlaminar,0,19,0.13983700994444082,0.0,0.0699185049722204,"[0.0, 1.0, 0.0, 0.0]","[0.0699185049722204, 0.8601629900555592, 0.06991850497222041, 0.0]","[0.0, 1.0, 0.0, 0.0]"
53,disjoint,1,192,9.71445146547012e-17,9.71445146547012e-17,-2.7755575615628914e-17,"[0.23074228329555754, 0.501657954041425, 0.2675997626630174]","[0.23074228329555752, 0.5016579540414251, 0.26759976266301744]","[0.23074228329555752, 0.5016579540414251, 0.26759976266301744]"
53,observed_node,1,15,0.27116137847629096,0.0,0.13558068923814548,"[0.0, 1.0, 0.0, 0.0, 0.0]","[0.13558068923814548, 0.728838621523709, 0.13558068923814545, 0.0, 0.0]","[0.0, 1.0, 0.0, 0.0, 0.0]"
53,nested_compatible,1,12,0.27116137847629096,0.0,0.13558068923814548,"[0.0, 1.0, 0.0]","[0.13558068923814548, 0.728838621523709, 0.13558068923814545]","[0.0, 1.0, 0.0]"
53,crossing_nonlaminar,0,19,0.0,0.0,0.0,"[1.0, 0.0, 0.0, 0.0]","[1.0, 0.0, 0.0, 0.0]","[1.0, 0.0, 0.0, 0.0]"
54,disjoint,1,192,0.0,0.0,0.0,"[0.26336536078862205, 0.5132690251990152, 0.22336561401236274]","[0.26336536078862205, 0.5132690251990152, 0.22336561401236274]","[0.26336536078862205, 0.5132690251990152, 0.22336561401236274]"
54,observed_node,1,15,0.32581431999760047,0.0,0.16290715999880026,"[0.0, 1.0, 0.0, 0.0, 0.0]","[0.16290715999880026, 0.6741856800023995, 0.16290715999880026, 0.0, 0.0]","[0.0, 1.0, 0.0, 0.0, 0.0]"
54,nested_compatible,1,12,0.0,0.0,0.0,"[1.0, 0.0, 0.0]","[1.0, 0.0, 0.0]","[1.0, 0.0, 0.0]"
54,crossing_nonlaminar,0,19,0.32581431999760047,0.0,0.0,"[0.0, 0.0, 1.0, 0.0]","[0.0, 0.16290715999880026, 0.6741856800023995, 0.16290715999880026]","[0.0, 0.0, 1.0, 0.0]"
55,disjoint,1,192,6.938893903907228e-17,1.3877787807814457e-17,0.0,"[0.26868698075635494, 0.5038259709077225, 0.22748704833592256]","[0.26868698075635494, 0.5038259709077226, 0.22748704833592254]","[0.26868698075635494, 0.5038259709077225, 0.22748704833592254]"
55,observed_node,1,15,0.0,0.0,0.0,"[0.0, 0.0, 1.0, 0.0, 0.0]","[0.0, 0.0, 1.0, 0.0, 0.0]","[0.0, 0.0, 1.0, 0.0, 0.0]"
55,nested_compatible,1,12,0.0,0.0,0.0,"[0.0, 0.0, 1.0]","[0.0, 0.0, 1.0]","[0.0, 0.0, 1.0]"
55,crossing_nonlaminar,0,19,0.0,0.0,0.0,"[0.0, 1.0, 0.0, 0.0]","[0.0, 1.0, 0.0, 0.0]","[0.0, 1.0, 0.0, 0.0]"
56,disjoint,1,192,5.551115123125783e-17,5.551115123125783e-17,0.0,"[0.3487567727589325, 0.494019787079587, 0.15722344016148043]","[0.3487567727589325, 0.49401978707958705, 0.1572234401614805]","[0.3487567727589325, 0.49401978707958705, 0.1572234401614805]"
56,observed_node,1,15,0.4562402220049129,0.0,0.0,"[0.0, 0.0, 0.0, 1.0, 0.0]","[0.0, 0.0, 0.22812011100245647, 0.5437597779950871, 0.2281201110024564]","[0.0, 0.0, 0.0, 1.0, 0.0]"
56,nested_compatible,1,12,0.4562402220049129,0.0,0.22812011100245647,"[0.0, 1.0, 0.0]","[0.22812011100245647, 0.5437597779950871, 0.2281201110024564]","[0.0, 1.0, 0.0]"
56,crossing_nonlaminar,0,19,0.0,0.0,0.0,"[0.0, 0.0, 1.0, 0.0]","[0.0, 0.0, 1.0, 0.0]","[0.0, 0.0, 1.0, 0.0]"
57,disjoint,1,192,5.551115123125783e-17,5.551115123125783e-17,-5.551115123125783e-17,"[0.254093355598665, 0.518831350015695, 0.22707529438564003]","[0.25409335559866497, 0.518831350015695, 0.22707529438563998]","[0.25409335559866497, 0.518831350015695, 0.22707529438563998]"
57,observed_node,1,15,0.0,0.0,0.0,"[1.0, 0.0, 0.0, 0.0, 0.0]","[1.0, 0.0, 0.0, 0.0, 0.0]","[1.0, 0.0, 0.0, 0.0, 0.0]"
57,nested_compatible,1,12,0.0,0.0,0.0,"[1.0, 0.0, 0.0]","[1.0, 0.0, 0.0]","[1.0, 0.0, 0.0]"
57,crossing_nonlaminar,0,19,5.551115123125783e-17,5.551115123125783e-17,0.0,"[0.4294878092529447, 0.5705121907470554, 0.0, 0.0]","[0.4294878092529447, 0.5705121907470553, 0.0, 0.0]","[0.4294878092529447, 0.5705121907470553, 0.0, 0.0]"
58,disjoint,1,192,8.673617379884035e-17,0.0,-1.1102230246251565e-16,"[0.6553521266462154, 0.3121736956478229, 0.032474177705961726]","[0.6553521266462153, 0.3121736956478228, 0.03247417770596172]","[0.6553521266462154, 0.3121736956478229, 0.032474177705961726]"
58,observed_node,1,15,0.0,0.0,0.0,"[0.0, 0.0, 1.0, 0.0, 0.0]","[0.0, 0.0, 1.0, 0.0, 0.0]","[0.0, 0.0, 1.0, 0.0, 0.0]"
58,nested_compatible,1,12,0.0,0.0,0.0,"[0.0, 0.0, 1.0]","[0.0, 0.0, 1.0]","[0.0, 0.0, 1.0]"
58,crossing_nonlaminar,0,19,0.0,0.0,0.0,"[1.0, 0.0, 0.0, 0.0]","[1.0, 0.0, 0.0, 0.0]","[1.0, 0.0, 0.0, 0.0]"
59,disjoint,1,192,5.551115123125783e-17,5.551115123125783e-17,0.0,"[0.11205630163656592, 0.4486210272108347, 0.4393226711525994]","[0.11205630163656592, 0.44862102721083474, 0.4393226711525993]","[0.11205630163656592, 0.44862102721083474, 0.4393226711525993]"
59,observed_node,1,15,0.46648592323746435,0.0,0.0,"[0.0, 0.0, 0.0, 1.0, 0.0]","[0.0, 0.0, 0.23324296161873223, 0.5335140767625357, 0.23324296161873215]","[0.0, 0.0, 0.0, 1.0, 0.0]"
59,nested_compatible,1,12,0.0,0.0,0.0,"[0.0, 0.0, 1.0]","[0.0, 0.0, 1.0]","[0.0, 0.0, 1.0]"
