instance,seed,base_p,n,B,G,rate_mode,utility_mode,replicate,p,u,V_star,V_laminar,V_greedy_laminar,V_rollout_laminar,V_static_binary,ratio_laminar_opt,ratio_greedy_laminar,ratio_static_opt,ratio_greedy_static,ratio_rollout_greedy,full_seconds,laminar_seconds,libraries_total,libraries_checked,best_library,practical_library
478,22204341,0.2,4,3,3,beta_bimodal,log_uniform,1,"[0.544231728255311, 0.013441028623122873, 0.0848265394104309, 0.15750070371113525]","[0.29267567117235693, 0.6063876361130766, 1.9940281004495082, 1.1069085922650583]",3.477819421970072,3.4648053739325992,3.4464033717757716,3.4543085255187975,3.4458750210650595,0.9962579862671246,0.9946888785455961,0.9908148189916897,1.0001533284601103,1.0022937401372587,0.007897083007264882,0.011627791041973978,15,15,"[1, 2, 4, 8, 6, 7]","[1, 2, 4, 8, 10, 14]"
479,22204342,0.2,4,3,3,beta_bimodal,log_uniform,2,"[0.37764186695271174, 0.0002963758614367231, 0.30185141981514013, 0.12021033737071146]","[0.8319195933320345, 0.26122436993153886, 1.8171241256223536, 1.089731911114073]",3.0022077212180265,2.9745796642879068,2.812466807741497,2.8377149472037564,3.001864296204627,0.9907974199337177,0.945500583328563,0.9998856091765495,0.9369067120380516,1.0089772221996585,0.007893208006862551,0.011705917015206069,15,15,"[1, 2, 4, 8, 5, 10]","[1, 2, 4, 8, 9, 13]"
480,22205220,0.2,5,2,2,homogeneous,flat,0,"[0.2, 0.2, 0.2, 0.2, 0.2]","[1.0, 1.0, 1.0, 1.0, 1.0]",2.5599999999999996,2.5599999999999996,2.5599999999999996,2.5599999999999996,2.5600000000000014,1.0,1.0,1.0000000000000007,0.9999999999999993,1.0,0.0023400840000249445,0.00022212497424334288,15,1,"[1, 2, 4, 8, 16, 3, 12]","[1, 2, 3, 4, 8, 12, 16]"
481,22205221,0.2,5,2,2,homogeneous,flat,1,"[0.2, 0.2, 0.2, 0.2, 0.2]","[1.0, 1.0, 1.0, 1.0, 1.0]",2.5599999999999996,2.5599999999999996,2.5599999999999996,2.5599999999999996,2.5600000000000014,1.0,1.0,1.0000000000000007,0.9999999999999993,1.0,0.0023400840000249445,0.00022212497424334288,15,1,"[1, 2, 4, 8, 16, 3, 12]","[1, 2, 3, 4, 8, 12, 16]"
482,22205222,0.2,5,2,2,homogeneous,flat,2,"[0.2, 0.2, 0.2, 0.2, 0.2]","[1.0, 1.0, 1.0, 1.0, 1.0]",2.5599999999999996,2.5599999999999996,2.5599999999999996,2.5599999999999996,2.5600000000000014,1.0,1.0,1.0000000000000007,0.9999999999999993,1.0,0.0023400840000249445,0.00022212497424334288,15,1,"[1, 2, 4, 8, 16, 3, 12]","[1, 2, 3, 4, 8, 12, 16]"
483,22205227,0.2,5,2,2,homogeneous,log_uniform,0,"[0.2, 0.2, 0.2, 0.2, 0.2]","[1.3853299125232128, 0.20813469688580014, 0.3882651206348534, 2.3339381996955098, 0.6843320702606229]",3.233464483852078,3.2205560012489745,3.2205560012489745,3.2205560012489745,3.1917342287380635,0.9960078477225995,1.0,0.9870942590146218,1.0090301292167132,1.0,0.005218125006649643,0.007657416048459709,15,15,"[1, 2, 4, 8, 16, 9, 20]","[1, 2, 4, 8, 9, 16, 20]"
484,22205228,0.2,5,2,2,homogeneous,log_uniform,1,"[0.2, 0.2, 0.2, 0.2, 0.2]","[0.7797226696746388, 2.175069333643233, 0.4975344132567704, 1.1455963603493153, 0.40207722307604254]",3.0593017030716676,3.0290994200298975,3.0290994200298975,3.0290994200298975,2.972259646129919,0.9901277199919688,1.0,0.9715483906492928,1.0191234214594904,1.0,0.001807624998036772,0.0061724589904770255,15,15,"[1, 2, 4, 8, 16, 5, 10]","[1, 2, 4, 5, 8, 10, 16]"
485,22205229,0.2,5,2,2,homogeneous,log_uniform,2,"[0.2, 0.2, 0.2, 0.2, 0.2]","[1.618301587146153, 0.3845449795702876, 2.2191626921541188, 0.4403091795788789, 0.3376815615505615]",3.1700196995585497,3.1700196995585497,3.1700196995585497,3.1700196995585497,3.0928410444273156,1.0,1.0,0.9756535723920007,1.024953967573049,1.0,0.002344749984331429,0.0008221250027418137,15,4,"[1, 2, 4, 8, 16, 5, 10]","[1, 2, 4, 5, 8, 10, 16]"
486,22205223,0.2,5,2,2,beta_bimodal,flat,0,"[0.01096582974121052, 0.06099264333309911, 0.922725834131288, 0.0005493394612680489, 0.0047663533331341245]","[1.0, 1.0, 1.0, 1.0, 1.0]",3.846794574839036,3.846794574839036,3.846794574839036,3.846794574839036,3.8467945748390355,1.0,1.0,0.9999999999999999,1.0000000000000002,1.0,0.0015999170136637986,0.0006157910102047026,15,3,"[1, 2, 4, 8, 16, 3, 24]","[1, 2, 3, 4, 8, 16, 24]"
487,22205224,0.2,5,2,2,beta_bimodal,flat,1,"[0.36162517021492785, 0.02882978374179473, 0.5873197815188423, 0.022209829301855683, 1.543522257927902e-05]","[1.0, 1.0, 1.0, 1.0, 1.0]",3.211072741638434,3.1954913995707748,3.1954913995707748,3.1954913995707748,3.1954913995707748,0.9951476209599323,1.0,0.9951476209599323,1.0,1.0,0.0033380420063622296,0.003097750013694167,15,15,"[1, 2, 4, 8, 16, 3, 24]","[1, 2, 3, 4, 8, 16, 24]"
488,22205225,0.2,5,2,2,beta_bimodal,flat,2,"[0.00012274047083286137, 4.706925655912047e-05, 1.6425484974975814e-05, 0.001789526299724324, 0.9980242384879087]","[1.0, 1.0, 1.0, 1.0, 1.0]",3.9960489178166902,3.9960489178166902,3.9960489178166902,3.9960489178166902,3.99604891781669,1.0,1.0,0.9999999999999999,1.0000000000000002,1.0,0.001590459025464952,0.0023335840087383986,15,8,"[1, 2, 4, 8, 16, 9, 6]","[1, 2, 4, 6, 8, 9, 16]"
489,22205230,0.2,5,2,2,beta_bimodal,log_uniform,0,"[0.011383658430404604, 0.005245491681684646, 0.9820686884016365, 0.00020165722145624188, 0.0011005042648178584]","[3.44849797525472, 0.3442299742517881, 0.4327237800610138, 0.4037955540656026, 0.3707527163668764]",4.518700069969045,4.518121876845445,4.518121876845443,4.518121876845445,4.518121876845444,0.9998720443679273,0.9999999999999996,0.9998720443679271,0.9999999999999998,1.0000000000000004,0.002304250025190413,0.003525499952957034,15,15,"[1, 2, 4, 8, 16, 9, 18]","[1, 2, 4, 8, 9, 16, 18]"
490,22205231,0.2,5,2,2,beta_bimodal,log_uniform,1,"[0.6348597149927122, 0.051371430850294164, 0.19839506140567897, 0.09553120119327232, 0.019842591558042088]","[0.9010329006111808, 1.4312465941899808, 0.783673271013946, 1.1494336849878293, 0.7346135491970642]",3.4360024191115124,3.4153823553671803,3.407152899938993,3.407152899938993,3.415382355367179,0.9939988215288672,0.9975904731675929,0.9939988215288669,0.9975904731675932,1.0,0.001711707969661802,0.0037558749900199473,15,15,"[1, 2, 4, 8, 16, 18, 12]","[1, 2, 4, 8, 10, 16, 20]"
491,22205232,0.2,5,2,2,beta_bimodal,log_uniform,2,"[0.9882945352384263, 0.00643594161277908, 0.0005292326438472058, 0.0017765437012311205, 0.0029637468037160973]","[0.7289803072168238, 1.402466736176643, 0.870925268655232, 1.3504854833360196, 0.6471422046152817]",4.2466731148493215,4.2466731148493215,4.243142392249088,4.243142392249088,4.246673114849322,1.0,0.9991685909169963,1.0000000000000002,0.9991685909169961,1.0,0.005819083016831428,0.0034178749774582684,15,15,"[1, 2, 4, 8, 16, 18, 12]","[1, 2, 4, 8, 10, 16, 20]"
492,22205230,0.2,5,2,3,homogeneous,flat,0,"[0.2, 0.2, 0.2, 0.2, 0.2]","[1.0, 1.0, 1.0, 1.0, 1.0]",2.8159999999999994,2.8159999999999994,2.8159999999999994,2.8159999999999994,2.8160000000000016,1.0,1.0,1.0000000000000009,0.9999999999999992,1.0,0.005468666960950941,0.00031212501926347613,30,1,"[1, 2, 4, 8, 16, 3, 12, 19]","[1, 2, 4, 6, 7, 8, 16, 24]"
493,22205231,0.2,5,2,3,homogeneous,flat,1,"[0.2, 0.2, 0.2, 0.2, 0.2]","[1.0, 1.0, 1.0, 1.0, 1.0]",2.8159999999999994,2.8159999999999994,2.8159999999999994,2.8159999999999994,2.8160000000000016,1.0,1.0,1.0000000000000009,0.9999999999999992,1.0,0.005468666960950941,0.00031212501926347613,30,1,"[1, 2, 4, 8, 16, 3, 12, 19]","[1, 2, 4, 6, 7, 8, 16, 24]"
494,22205232,0.2,5,2,3,homogeneous,flat,2,"[0.2, 0.2, 0.2, 0.2, 0.2]","[1.0, 1.0, 1.0, 1.0, 1.0]",2.8159999999999994,2.8159999999999994,2.8159999999999994,2.8159999999999994,2.8160000000000016,1.0,1.0,1.0000000000000009,0.9999999999999992,1.0,0.005468666960950941,0.00031212501926347613,30,1,"[1, 2, 4, 8, 16, 3, 12, 19]","[1, 2, 4, 6, 7, 8, 16, 24]"
495,22205237,0.2,5,2,3,homogeneous,log_uniform,0,"[0.2, 0.2, 0.2, 0.2, 0.2]","[1.7375795109379175, 0.3301960372572865, 0.5552076906713479, 2.085966423800042, 0.29105033733340574]",3.1947339322462636,3.1904182734019324,3.0494309797277594,3.136156948069963,3.1361569480699645,0.9986491335629641,0.9558091505275141,0.9816645187303242,0.9723464195898813,1.0284400496088442,0.005094291002023965,0.009495416015852243,30,30,"[1, 2, 4, 8, 16, 9, 6, 22]","[1, 2, 4, 5, 8, 13, 16, 18]"
496,22205238,0.2,5,2,3,homogeneous,log_uniform,1,"[0.2, 0.2, 0.2, 0.2, 0.2]","[0.4652199221558538, 0.712988556362427, 1.524041297789961, 0.7932475188530155, 1.5045027048387434]",2.9482912751834744,2.9476536323364737,2.8114087418039166,2.8114087418039166,2.947653632336475,0.9997837246094482,0.9537785277625845,0.9997837246094486,0.9537785277625841,1.0,0.0066147499601356685,0.009437541011720896,30,30,"[1, 2, 4, 8, 16, 3, 20, 11]","[1, 2, 3, 4, 8, 16, 24, 28]"
497,22205239,0.2,5,2,3,homogeneous,log_uniform,2,"[0.2, 0.2, 0.2, 0.2, 0.2]","[0.8798234303617614, 1.8265024126695357, 1.0073807617511283, 0.47527885314416, 0.8110145420734148]",2.9657812778712827,2.922737046325844,2.8761107074225785,2.8761107074225785,2.922737046325846,0.9854863769399967,0.9840470291496529,0.9854863769399974,0.9840470291496524,1.0,0.004870250006206334,0.012077457970008254,30,30,"[1, 2, 4, 8, 16, 6, 24, 25]","[1, 2, 4, 5, 7, 8, 16, 24]"
498,22205233,0.2,5,2,3,beta_bimodal,flat,0,"[1.0079448548559084e-05, 0.8376709846994034, 0.09659983553956644, 0.0329734848560062, 0.032745615456475245]","[1.0, 1.0, 1.0, 1.0, 1.0]",3.767841129431846,3.715916651012329,3.7156887839095956,3.7156887839095956,3.767839307960917,0.9862190372057044,0.9999386780909978,0.9999995165743814,0.9861590371061911,1.0,0.00485508400015533,0.009990416001528502,30,30,"[1, 2, 4, 8, 16, 17, 6, 25]","[1, 2, 4, 6, 8, 16, 24, 25]"
499,22205234,0.2,5,2,3,beta_bimodal,flat,1,"[0.9875904833348905, 0.002749919843381089, 0.005844729379872411, 0.002438498100556213, 0.001376369341299753]","[1.0, 1.0, 1.0, 1.0, 1.0]",3.978294438744212,3.9752198242924313,3.9745024216370703,3.9745024216370703,3.9782784331001935,0.9992271526154933,0.9998195313247894,0.9999959767573102,0.9990508428390266,1.0,0.004952082992531359,0.010371665994171053,30,30,"[1, 2, 4, 8, 16, 6, 24, 7]","[1, 2, 4, 5, 8, 10, 16, 26]"
500,22205235,0.2,5,2,3,beta_bimodal,flat,2,"[0.5625249244901567, 3.719928362007102e-05, 0.4308061977871391, 0.0039142291274536665, 0.0027174493116310402]","[1.0, 1.0, 1.0, 1.0, 1.0]",3.554427762534601,3.5532476597185263,3.5520509244220557,3.5520509244220557,3.552967160214657,0.9996679907723788,0.9996631995821633,0.9995890752555617,0.9997421209509446,1.0,0.004877916013356298,0.009780666034203023,30,30,"[1, 2, 4, 8, 16, 5, 18, 26]","[1, 2, 4, 5, 8, 16, 24, 26]"
501,22205240,0.2,5,2,3,beta_bimodal,log_uniform,0,"[0.0001252865604614877, 0.0908384241663739, 0.8151258085740787, 0.0007514684412932977, 0.09315901225779277]","[0.382402083371456, 0.4146801439200774, 0.4408158089650141, 1.7358590701685015, 2.026242893574951]",4.311193362105816,4.293893775550767,4.293893775550767,4.293893775550767,4.3110442627961145,0.9959872858621682,1.0,0.9999654157684015,0.9960217325084425,1.0,0.005465457972604781,0.009392582986038178,30,30,"[1, 2, 4, 8, 16, 9, 6, 25]","[1, 2, 4, 6, 8, 9, 16, 25]"
502,22205241,0.2,5,2,3,beta_bimodal,log_uniform,1,"[0.3257674485037679, 0.00587426844111769, 0.640502835471673, 0.0018820960565252625, 0.025973351526915878]","[1.4679096266113594, 1.1444994017702472, 1.1050834264886864, 0.4452883084211734, 0.8372192367085334]",3.3928393387263953,3.34338160167455,3.005927613064141,3.005927613064141,3.3553314490508366,0.9854229062698823,0.8990680607797227,0.9889449850314344,0.8958660742486303,1.0,0.006491958978585899,0.010047791001852602,30,30,"[1, 2, 4, 8, 16, 5, 10, 26]","[1, 2, 4, 8, 12, 16, 17, 19]"
503,22205242,0.2,5,2,3,beta_bimodal,log_uniform,2,"[0.007569736287003079, 0.0007360629999662616, 0.26594093774747024, 0.7104825908275056, 0.01527067213805463]","[1.7792015783667914, 1.2175418889142458, 0.3883656471882105, 1.2244733794082, 0.39041750612255277]",3.732212828448196,3.6994702430511475,3.6823117274840804,3.6823117274840804,3.6724547511215646,0.9912270315488245,0.9953618992883382,0.9839885665492775,1.0026840293565238,1.0,0.0051199159934185445,0.010857207991648465,30,30,"[1, 2, 4, 8, 16, 3, 12, 19]","[1, 2, 4, 8, 12, 16, 18, 19]"
504,22205320,0.2,5,3,2,homogeneous,flat,0,"[0.2, 0.2, 0.2, 0.2, 0.2]","[1.0, 1.0, 1.0, 1.0, 1.0]",3.42144,3.36,3.36,3.36,3.3600000000000017,0.9820426487093153,1.0,0.9820426487093159,0.9999999999999994,1.0,0.012451082991901785,0.020633417007047683,15,15,"[1, 2, 4, 8, 16, 3, 12]","[1, 2, 3, 4, 8, 12, 16]"
505,22205321,0.2,5,3,2,homogeneous,flat,1,"[0.2, 0.2, 0.2, 0.2, 0.2]","[1.0, 1.0, 1.0, 1.0, 1.0]",3.42144,3.36,3.36,3.36,3.3600000000000017,0.9820426487093153,1.0,0.9820426487093159,0.9999999999999994,1.0,0.012451082991901785,0.020633417007047683,15,15,"[1, 2, 4, 8, 16, 3, 12]","[1, 2, 3, 4, 8, 12, 16]"
506,22205322,0.2,5,3,2,homogeneous,flat,2,"[0.2, 0.2, 0.2, 0.2, 0.2]","[1.0, 1.0, 1.0, 1.0, 1.0]",3.42144,3.36,3.36,3.36,3.3600000000000017,0.9820426487093153,1.0,0.9820426487093159,0.9999999999999994,1.0,0.012451082991901785,0.020633417007047683,15,15,"[1, 2, 4, 8, 16, 3, 12]","[1, 2, 3, 4, 8, 12, 16]"
507,22205327,0.2,5,3,2,homogeneous,log_uniform,0,"[0.2, 0.2, 0.2, 0.2, 0.2]","[0.22639902508106807, 1.322098497645663, 0.21166600651645567, 1.1595273938593536, 2.0803090768974597]",3.8389752872581924,3.6917743700592256,3.6242895379520843,3.64954797472198,3.6495479747219837,0.9616561956812965,0.9817202176128498,0.950656803349339,0.9930790232256576,1.0069692105184753,0.012309667014051229,0.02082920802058652,15,15,"[1, 2, 4, 8, 16, 5, 18]","[1, 2, 4, 8, 9, 16, 18]"
508,22205328,0.2,5,3,2,homogeneous,log_uniform,1,"[0.2, 0.2, 0.2, 0.2, 0.2]","[1.4133242899429475, 0.23315498871642806, 1.0022980882862107, 1.8069146187255338, 0.5443080143288797]",3.7528867365845677,3.6029452931321777,3.5351858716490914,3.566019032608442,3.566019032608444,0.9600463712398501,0.9811933249133016,0.9502069427903416,0.9913536185092093,1.0087217934441923,0.012504499987699091,0.020244790997821838,15,15,"[1, 2, 4, 8, 16, 9, 20]","[1, 2, 4, 8, 9, 16, 20]"
509,22205329,0.2,5,3,2,homogeneous,log_uniform,2,"[0.2, 0.2, 0.2, 0.2, 0.2]","[0.13348438781225708, 1.7155608164355258, 0.5254071071230199, 1.0112472894126205, 1.6143003992165768]",3.7843717600388675,3.674719310952696,3.548461972257442,3.6473477863044916,3.647347786304492,0.9710249267146404,0.965641637357461,0.9637921477003707,0.9728882958684778,1.0278672322882865,0.015200624999124557,0.02052966703195125,15,15,"[1, 2, 4, 8, 16, 6, 24]","[1, 2, 4, 8, 12, 16, 18]"
510,22205323,0.2,5,3,2,beta_bimodal,flat,0,"[0.15706702160090216, 0.009822160263786638, 0.7932876922217019, 0.007810556046343424, 0.03201256986726587]","[1.0, 1.0, 1.0, 1.0, 1.0]",3.9445584830864853,3.9382999229387896,3.9235643782201244,3.923564378220125,3.828308283526807,0.9984133686508817,0.9962583995614865,0.9705289704644673,1.0248820334305897,1.0000000000000002,0.012853582971729338,0.020495333999861032,15,15,"[1, 2, 4, 8, 16, 3, 24]","[1, 2, 4, 8, 10, 16, 17]"
511,22205324,0.2,5,3,2,beta_bimodal,flat,1,"[0.00558708006777722, 0.03142059401274749, 0.011631785123525362, 0.768615061785957, 0.182745479009993]","[1.0, 1.0, 1.0, 1.0, 1.0]",3.9350712619727184,3.9282803918214957,3.9164046259513148,3.916404625951315,3.8139146736666047,0.9982742700959834,0.9969768538175366,0.9692110815179048,1.026872639021622,1.0000000000000002,0.012449499976355582,0.02239375002682209,15,15,"[1, 2, 4, 8, 16, 3, 20]","[1, 2, 4, 5, 8, 16, 18]"
512,22205325,0.2,5,3,2,beta_bimodal,flat,2,"[0.016261819955765505, 0.0010036705891065885, 0.9363263180744785, 0.04639447497997211, 1.3716400677020954e-05]","[1.0, 1.0, 1.0, 1.0, 1.0]",3.995044997489372,3.994275726896208,3.9804782070714078,3.9804782070714078,3.9397058807408287,0.9998074438226234,0.9965456766712693,0.9861480617156201,1.0103490787294285,1.0,0.012784040998667479,0.021685540967155248,15,15,"[1, 2, 4, 8, 16, 17, 10]","[1, 2, 4, 8, 9, 16, 18]"
513,22205330,0.2,5,3,2,beta_bimodal,log_uniform,0,"[0.13804439216971484, 0.01937972224521603, 0.8102967879184263, 0.02443630246229767, 0.007842795204345113]","[2.4651587800906087, 0.5903389413914907, 0.5674631634810438, 0.4540739679780573, 0.9229651470587995]",4.139435416832089,4.133314521612002,4.123404064604604,4.123404064604604,4.054012344032714,0.9985213212422164,0.9976022978760559,0.9793635932929353,1.0171168005134545,1.0,0.012497708026785403,0.02566087496234104,15,15,"[1, 2, 4, 8, 16, 17, 10]","[1, 2, 4, 8, 10, 16, 17]"
514,22205331,0.2,5,3,2,beta_bimodal,log_uniform,1,"[0.00756678927567065, 5.42364833127446e-05, 0.006345927966172879, 0.9859879971438239, 4.504913101980502e-05]","[0.7053744434765361, 2.2891264760935517, 0.46298562333237747, 0.8039572063360364, 0.7385562507614986]",4.198671823712078,4.198625394583852,4.19519659830209,4.19519659830209,4.190809119717941,0.9999889419487458,0.999183352654851,0.9981273354231374,1.0010469287573862,1.0,0.01200325001263991,0.021380458027124405,15,15,"[1, 2, 4, 8, 16, 17, 6]","[1, 2, 4, 5, 8, 16, 18]"
515,22205332,0.2,5,3,2,beta_bimodal,log_uniform,2,"[0.4197057207122851, 0.0076869976418588734, 0.00030214881070340666, 2.7225270826224007e-05, 0.5722779075643264]","[0.3530598187176123, 0.3822803714990945, 2.0036451242916535, 1.7044447954665332, 0.5565698900251075]",4.436935029159935,4.427823612776944,4.410754671853144,4.410754671853144,4.434627906604163,0.9979464616175108,0.9961450720677884,0.9994800188552212,0.9946166318226007,1.0,0.014432375028263777,0.021748917002696544,15,15,"[1, 2, 4, 8, 16, 3, 12]","[1, 2, 4, 8, 12, 16, 18]"
516,22205330,0.2,5,3,3,homogeneous,flat,0,"[0.2, 0.2, 0.2, 0.2, 0.2]","[1.0, 1.0, 1.0, 1.0, 1.0]",3.4943999999999993,3.3676799999999996,3.192319999999999,3.36,3.3600000000000017,0.9637362637362638,0.9479285442797414,0.9615384615384622,0.9500952380952373,1.0525260625501205,0.06796187500003725,0.07891649997327477,30,30,"[1, 2, 4, 8, 16, 3, 12, 28]","[1, 2, 4, 6, 7, 8, 16, 24]"
517,22205331,0.2,5,3,3,homogeneous,flat,1,"[0.2, 0.2, 0.2, 0.2, 0.2]","[1.0, 1.0, 1.0, 1.0, 1.0]",3.4943999999999993,3.3676799999999996,3.192319999999999,3.36,3.3600000000000017,0.9637362637362638,0.9479285442797414,0.9615384615384622,0.9500952380952373,1.0525260625501205,0.06796187500003725,0.07891649997327477,30,30,"[1, 2, 4, 8, 16, 3, 12, 28]","[1, 2, 4, 6, 7, 8, 16, 24]"
518,22205332,0.2,5,3,3,homogeneous,flat,2,"[0.2, 0.2, 0.2, 0.2, 0.2]","[1.0, 1.0, 1.0, 1.0, 1.0]",3.4943999999999993,3.3676799999999996,3.192319999999999,3.36,3.3600000000000017,0.9637362637362638,0.9479285442797414,0.9615384615384622,0.9500952380952373,1.0525260625501205,0.06796187500003725,0.07891649997327477,30,30,"[1, 2, 4, 8, 16, 3, 12, 28]","[1, 2, 4, 6, 7, 8, 16, 24]"
519,22205337,0.2,5,3,3,homogeneous,log_uniform,0,"[0.2, 0.2, 0.2, 0.2, 0.2]","[1.777785774967122, 1.4364947689612595, 0.5252926772454624, 0.6945736816897348, 0.5658530971364195]",3.6749085712496865,3.5704252968343027,3.447236046591437,3.49081823243513,3.4918761292154916,0.9715684696939676,0.9654973175458703,0.9501940147664808,0.9872160177016119,1.0126426462402498,0.05682308296673,0.06773066602181643,30,30,"[1, 2, 4, 8, 16, 3, 20, 28]","[1, 2, 4, 8, 10, 11, 16, 20]"
520,22205338,0.2,5,3,3,homogeneous,log_uniform,1,"[0.2, 0.2, 0.2, 0.2, 0.2]","[1.5857441902630836, 0.6131273753569061, 0.4379547534123055, 1.7358537761152446, 0.627319904852461]",3.6881429484499404,3.593466038377049,3.4734101141954863,3.5161940546485986,3.5166202143169607,0.9743293816437667,0.9665904942750524,0.9534934690627792,0.9877126054313297,1.0123175608541757,0.05902712501119822,0.08791337499860674,30,30,"[1, 2, 4, 8, 16, 9, 6, 22]","[1, 2, 4, 6, 8, 16, 17, 25]"
521,22205339,0.2,5,3,3,homogeneous,log_uniform,2,"[0.2, 0.2, 0.2, 0.2, 0.2]","[1.8538887189185185, 0.5447652969665412, 1.2025638707654844, 0.6074454452688175, 0.7913366680806387]",3.658483592067643,3.5494809570726904,3.452772552069407,3.496622195026963,3.4966221950269647,0.9702055148665165,0.9727542121868319,0.955757243959867,0.9874594278386947,1.0126998353631127,0.08034154196502641,0.12092637497698888,30,30,"[1, 2, 4, 8, 16, 10, 20, 11]","[1, 2, 4, 8, 10, 16, 20, 21]"
522,22205333,0.2,5,3,3,beta_bimodal,flat,0,"[0.986598031344904, 6.298389070336502e-06, 0.0011974970106180898, 0.0007603096140126559, 0.011437863641395107]","[1.0, 1.0, 1.0, 1.0, 1.0]",3.999950128277363,3.999049154697004,3.9980114896412133,3.9980114896412133,3.9980087792109607,0.9997747537965562,0.9997405220552061,0.9995146566821725,1.0000006779450477,1.0,0.08544350002193823,0.08919525000965223,30,30,"[1, 2, 4, 8, 16, 6, 24, 7]","[1, 2, 4, 8, 12, 14, 16, 17]"
523,22205334,0.2,5,3,3,beta_bimodal,flat,1,"[0.4894204227534419, 0.04960080824683294, 0.060789621227572414, 0.00014608475544660533, 0.40004306301670667]","[1.0, 1.0, 1.0, 1.0, 1.0]",3.9336280713365683,3.8823222809626747,3.659739421439648,3.8404892554203602,3.874197127838508,0.9869571323359859,0.9426675985622105,0.9848915702195843,0.9446446065281893,1.0493887168364597,0.07413370802532881,0.0951721669989638,30,30,"[1, 2, 4, 8, 16, 17, 10, 14]","[1, 2, 4, 6, 8, 14, 16, 17]"
524,22205335,0.2,5,3,3,beta_bimodal,flat,2,"[0.00023384936833642167, 0.12299037298378941, 0.8763870375053563, 0.00038249585632229004, 6.244286195657171e-06]","[1.0, 1.0, 1.0, 1.0, 1.0]",3.9998802702957827,3.9994725673046227,3.999301412142485,3.999301412142485,3.9993134887912043,0.9998980712012338,0.9999572055666698,0.9998583003824421,0.9999969803195591,1.0,0.07395687501411885,0.08629687502980232,30,30,"[1, 2, 4, 8, 16, 17, 6, 25]","[1, 2, 4, 6, 8, 9, 16, 25]"
525,22205340,0.2,5,3,3,beta_bimodal,log_uniform,0,"[1.7578135678935423e-05, 0.9864423241772136, 5.705929647355563e-05, 4.6398350435631114e-07, 0.01348257440712944]","[0.3723320217998304, 0.29315717026599236, 2.45574159657056, 1.0211676072109492, 0.8576016041526688]",4.699106233035599,4.699073856676218,4.694012587464954,4.694012587464954,4.699040772710128,0.9999931101026929,0.998922921970236,0.9999860696221313,0.9989299549656229,1.0,0.08223754196660593,0.09855245798826218,30,30,"[1, 2, 4, 8, 16, 9, 18, 13]","[1, 2, 3, 4, 8, 16, 24, 28]"
526,22205341,0.2,5,3,3,beta_bimodal,log_uniform,1,"[0.0557710414980851, 0.002104275217830699, 5.2837980107879326e-05, 0.9388690871957963, 0.003202758108179966]","[1.2464145187748534, 1.1711797117698362, 1.5179450847155256, 0.5511328902232303, 0.5133277945165546]",4.40838037199828,4.405458965159557,4.374912405196934,4.374912405196934,4.4036092108968585,0.9993373060869974,0.9930662025899686,0.9989177065727523,0.9934833441557636,1.0,0.07769666600506753,0.09662074997322634,30,30,"[1, 2, 4, 8, 16, 5, 18, 13]","[1, 2, 3, 4, 7, 8, 16, 24]"
527,22205342,0.2,5,3,3,beta_bimodal,log_uniform,2,"[4.0840162293242455e-07, 0.23950435367812395, 0.0024032812394917218, 0.7576281559351028, 0.00046380074565876244]","[0.3746482416555745, 0.8440554490907367, 1.6175438548966088, 1.2626368418028715, 0.9011156125542085]",3.8361150161237716,3.8355821572371047,3.6723526349201867,3.6723527296962155,3.8350693878238453,0.9998610941318424,0.9574433513283164,0.999727425195665,0.9575713666562915,1.0000000258079869,0.05494520900538191,0.06919408304383978,30,30,"[1, 2, 4, 8, 16, 17, 10, 21]","[1, 2, 4, 8, 9, 16, 18, 22]"
528,22206220,0.2,6,2,2,homogeneous,flat,0,"[0.2, 0.2, 0.2, 0.2, 0.2, 0.2]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",2.559999999999999,2.559999999999999,2.559999999999999,2.559999999999999,2.5600000000000014,1.0,1.0,1.0000000000000009,0.9999999999999991,1.0,0.0051419579540379345,0.0004324169713072479,15,1,"[1, 2, 4, 8, 16, 32, 3, 12, 48]","[1, 2, 3, 4, 8, 12, 16, 32, 48]"
529,22206221,0.2,6,2,2,homogeneous,flat,1,"[0.2, 0.2, 0.2, 0.2, 0.2, 0.2]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",2.559999999999999,2.559999999999999,2.559999999999999,2.559999999999999,2.5600000000000014,1.0,1.0,1.0000000000000009,0.9999999999999991,1.0,0.0051419579540379345,0.0004324169713072479,15,1,"[1, 2, 4, 8, 16, 32, 3, 12, 48]","[1, 2, 3, 4, 8, 12, 16, 32, 48]"
530,22206222,0.2,6,2,2,homogeneous,flat,2,"[0.2, 0.2, 0.2, 0.2, 0.2, 0.2]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",2.559999999999999,2.559999999999999,2.559999999999999,2.559999999999999,2.5600000000000014,1.0,1.0,1.0000000000000009,0.9999999999999991,1.0,0.0051419579540379345,0.0004324169713072479,15,1,"[1, 2, 4, 8, 16, 32, 3, 12, 48]","[1, 2, 3, 4, 8, 12, 16, 32, 48]"
