model,G,B,N,kmax,inst,w_myopic,w_rollout,first_pool_diff,pred_gain_step1
binary,5,5,50,24,497,33.0,33.0,1,0.042684
binary,5,5,50,24,498,12.0,13.0,1,0.125792
binary,5,5,50,24,499,17.0,6.0,1,0.077987
binary,5,5,50,24,500,8.0,25.0,1,0.031561
binary,5,5,50,24,501,28.0,30.0,1,0.044693
binary,5,5,50,24,502,27.0,20.0,1,0.050716
binary,5,5,50,24,503,8.0,6.0,1,0.161786
binary,5,5,50,24,504,12.0,9.0,1,0.08265
binary,5,5,50,24,505,44.0,44.0,1,0.05149
binary,5,5,50,24,506,14.0,9.0,1,0.043043
binary,5,5,50,24,507,33.0,33.0,1,0.296319
binary,5,5,50,24,508,27.0,26.0,1,0.078532
binary,5,5,50,24,509,27.0,26.0,1,0.011497
binary,5,5,50,24,510,21.0,18.0,1,0.154922
binary,5,5,50,24,511,17.0,10.0,1,0.863889
binary,5,5,50,24,512,17.0,18.0,1,0.003465
binary,5,5,50,24,513,18.0,21.0,1,0.346189
binary,5,5,50,24,514,23.0,29.0,1,0.176382
binary,5,5,50,24,515,23.0,23.0,1,0.116592
binary,5,5,50,24,516,23.0,23.0,1,0.211315
binary,5,5,50,24,517,27.0,26.0,1,0.138908
binary,5,5,50,24,518,22.0,18.0,1,0.01881
binary,5,5,50,24,519,17.0,19.0,1,0.315498
binary,5,5,50,24,520,20.0,20.0,1,0.193017
binary,5,5,50,24,521,13.0,23.0,1,0.360403
binary,5,5,50,24,522,20.0,15.0,1,0.567642
binary,5,5,50,24,523,19.0,15.0,1,0.033347
binary,5,5,50,24,524,0.0,0.0,1,0.041836
binary,5,5,50,24,525,8.0,12.0,1,0.036657
binary,5,5,50,24,526,13.0,17.0,1,0.120602
binary,5,5,50,24,527,16.0,12.0,1,0.231438
binary,5,5,50,24,528,19.0,26.0,1,0.367442
binary,5,5,50,24,529,17.0,19.0,1,0.303405
binary,5,5,50,24,530,23.0,20.0,1,0.297814
binary,5,5,50,24,531,15.0,9.0,1,0.208058
binary,5,5,50,24,532,8.0,7.0,1,0.15816
binary,5,5,50,24,533,16.0,13.0,1,0.099264
binary,5,5,50,24,534,11.0,14.0,1,0.080588
binary,5,5,50,24,535,21.0,19.0,1,0.263976
binary,5,5,50,24,536,30.0,27.0,1,0.180434
binary,5,5,50,24,537,19.0,21.0,1,0.834222
binary,5,5,50,24,538,19.0,20.0,1,0.151994
binary,5,5,50,24,539,41.0,44.0,1,0.183742
binary,5,5,50,24,540,17.0,17.0,1,0.056338
binary,5,5,50,24,541,28.0,31.0,1,0.002133
binary,5,5,50,24,542,33.0,36.0,1,0.367597
binary,5,5,50,24,543,0.0,9.0,1,0.257557
binary,5,5,50,24,544,33.0,32.0,1,0.029669
binary,5,5,50,24,545,25.0,30.0,1,0.079564
binary,5,5,50,24,546,38.0,29.0,1,0.275448
binary,5,5,50,24,547,21.0,18.0,1,0.034807
binary,5,5,50,24,548,14.0,12.0,1,0.205739
binary,5,5,50,24,549,8.0,0.0,1,0.214695
binary,5,5,50,24,550,15.0,14.0,1,0.133489
binary,5,5,50,24,551,19.0,12.0,1,0.085018
binary,5,5,50,24,552,24.0,23.0,1,0.590056
binary,5,5,50,24,553,10.0,9.0,1,0.037492
binary,5,5,50,24,554,21.0,13.0,1,0.231256
binary,5,5,50,24,555,20.0,14.0,1,0.193069
binary,5,5,50,24,556,23.0,23.0,1,0.101969
binary,5,5,50,24,557,27.0,22.0,1,0.216491
binary,5,5,50,24,558,12.0,8.0,1,0.509954
binary,5,5,50,24,559,23.0,29.0,1,0.050957
binary,5,5,50,24,560,14.0,19.0,1,0.067746
binary,5,5,50,24,561,11.0,10.0,1,0.184877
binary,5,5,50,24,562,19.0,18.0,1,0.093937
binary,5,5,50,24,563,14.0,13.0,1,0.106394
binary,5,5,50,24,564,7.0,7.0,1,0.372416
binary,5,5,50,24,565,6.0,21.0,1,0.090199
binary,5,5,50,24,566,28.0,28.0,1,0.306554
binary,5,5,50,24,567,26.0,32.0,1,0.112357
binary,5,5,50,24,568,26.0,27.0,1,0.109841
binary,5,5,50,24,569,20.0,7.0,1,0.394883
binary,5,5,50,24,570,37.0,41.0,1,0.107246
binary,5,5,50,24,571,13.0,13.0,1,0.079192
binary,5,5,50,24,572,28.0,28.0,1,0.39262
binary,5,5,50,24,573,35.0,35.0,1,0.428364
binary,5,5,50,24,574,13.0,14.0,1,0.206782
binary,5,5,50,24,575,36.0,37.0,1,0.129534
binary,5,5,50,24,576,15.0,16.0,1,0.108524
binary,5,5,50,24,577,13.0,13.0,1,0.557452
binary,5,5,50,24,578,12.0,11.0,1,0.267154
binary,5,5,50,24,579,23.0,20.0,1,0.05738
binary,5,5,50,24,580,16.0,11.0,1,0.096418
binary,5,5,50,24,581,14.0,14.0,1,0.112919
binary,5,5,50,24,582,14.0,24.0,1,0.810046
binary,5,5,50,24,583,10.0,12.0,1,0.23427
binary,5,5,50,24,584,22.0,21.0,1,0.116433
binary,5,5,50,24,585,27.0,27.0,1,0.367566
binary,5,5,50,24,586,28.0,26.0,1,0.246456
binary,5,5,50,24,587,8.0,15.0,1,0.262204
binary,5,5,50,24,588,9.0,6.0,1,0.497251
binary,5,5,50,24,589,15.0,9.0,1,0.183915
binary,5,5,50,24,590,21.0,21.0,1,0.303928
binary,5,5,50,24,591,13.0,23.0,1,0.221535
binary,5,5,50,24,592,21.0,23.0,1,0.098066
binary,5,5,50,24,593,17.0,17.0,1,0.396752
binary,5,5,50,24,594,30.0,21.0,0,0.0
binary,5,5,50,24,595,18.0,24.0,1,0.261465
binary,5,5,50,24,596,27.0,27.0,1,0.183741
binary,5,5,50,24,597,16.0,21.0,1,0.179023
binary,5,5,50,24,598,31.0,28.0,1,0.363902
binary,5,5,50,24,599,19.0,18.0,1,0.066814
binary,5,5,50,24,600,18.0,27.0,1,0.487034
binary,5,5,50,24,601,22.0,22.0,1,0.19784
binary,5,5,50,24,602,6.0,5.0,1,0.030818
binary,5,5,50,24,603,7.0,0.0,1,0.150105
binary,5,5,50,24,604,36.0,36.0,1,0.100688
binary,5,5,50,24,605,14.0,20.0,1,0.263606
binary,5,5,50,24,606,11.0,0.0,1,0.171122
binary,5,5,50,24,607,22.0,27.0,1,0.407111
binary,5,5,50,24,608,21.0,24.0,1,0.272755
binary,5,5,50,24,609,25.0,22.0,1,0.064994
binary,5,5,50,24,610,25.0,22.0,1,0.15267
binary,5,5,50,24,611,11.0,16.0,1,0.171845
binary,5,5,50,24,612,19.0,22.0,1,0.129238
binary,5,5,50,24,613,25.0,26.0,1,0.163422
binary,5,5,50,24,614,17.0,18.0,1,0.261146
binary,5,5,50,24,615,33.0,32.0,1,0.126372
binary,5,5,50,24,616,20.0,20.0,1,0.260187
binary,5,5,50,24,617,30.0,31.0,1,0.123163
binary,5,5,50,24,618,24.0,28.0,1,0.174252
binary,5,5,50,24,619,26.0,24.0,1,0.036337
binary,5,5,50,24,620,21.0,20.0,1,0.083296
binary,5,5,50,24,621,40.0,41.0,1,0.071579
binary,5,5,50,24,622,17.0,19.0,1,0.008032
binary,5,5,50,24,623,11.0,9.0,1,0.314305
binary,5,5,50,24,624,17.0,19.0,1,0.054304
binary,5,5,50,24,625,20.0,28.0,1,0.596129
binary,5,5,50,24,626,17.0,18.0,1,0.132018
binary,5,5,50,24,627,11.0,16.0,1,0.149674
binary,5,5,50,24,628,20.0,17.0,1,0.092217
binary,5,5,50,24,629,20.0,15.0,1,0.426379
binary,5,5,50,24,630,15.0,21.0,1,0.072288
binary,5,5,50,24,631,12.0,21.0,1,0.13769
binary,5,5,50,24,632,23.0,25.0,1,0.125476
binary,5,5,50,24,633,35.0,40.0,1,0.251933
binary,5,5,50,24,634,12.0,18.0,1,0.215888
binary,5,5,50,24,635,8.0,11.0,1,0.400873
binary,5,5,50,24,636,16.0,17.0,1,0.135664
binary,5,5,50,24,637,9.0,17.0,1,0.221836
binary,5,5,50,24,638,21.0,24.0,1,0.180703
binary,5,5,50,24,639,29.0,27.0,1,0.101443
binary,5,5,50,24,640,25.0,12.0,1,0.101661
binary,5,5,50,24,641,14.0,12.0,1,0.252718
binary,5,5,50,24,642,7.0,12.0,1,0.370084
binary,5,5,50,24,643,33.0,31.0,1,0.266123
binary,5,5,50,24,644,31.0,29.0,1,0.169648
binary,5,5,50,24,645,21.0,21.0,1,0.288314
binary,5,5,50,24,646,28.0,32.0,1,0.005511
binary,5,5,50,24,647,6.0,7.0,1,0.072841
binary,5,5,50,24,648,27.0,35.0,1,0.270959
binary,5,5,50,24,649,15.0,24.0,0,0.0
binary,5,5,50,24,650,14.0,23.0,1,0.351456
binary,5,5,50,24,651,18.0,11.0,1,0.234872
binary,5,5,50,24,652,19.0,20.0,1,0.113963
binary,5,5,50,24,653,0.0,0.0,1,0.186637
binary,5,5,50,24,654,11.0,11.0,1,0.226794
binary,5,5,50,24,655,24.0,29.0,1,0.033949
binary,5,5,50,24,656,36.0,30.0,1,0.412986
binary,5,5,50,24,657,26.0,20.0,1,0.01965
binary,5,5,50,24,658,20.0,18.0,1,0.067163
binary,5,5,50,24,659,21.0,23.0,1,0.076611
binary,5,5,50,24,660,19.0,21.0,1,0.274385
binary,5,5,50,24,661,25.0,30.0,1,0.236498
binary,5,5,50,24,662,27.0,27.0,1,0.119818
binary,5,5,50,24,663,13.0,15.0,1,0.087717
binary,5,5,50,24,664,32.0,31.0,1,0.33457
binary,5,5,50,24,665,25.0,24.0,1,0.480989
binary,5,5,50,24,666,30.0,23.0,1,0.603826
binary,5,5,50,24,667,0.0,9.0,1,0.237828
binary,5,5,50,24,668,18.0,23.0,1,0.01211
binary,5,5,50,24,669,36.0,37.0,1,0.26829
binary,5,5,50,24,670,23.0,27.0,1,0.041852
binary,5,5,50,24,671,17.0,17.0,1,0.149018
binary,5,5,50,24,672,20.0,23.0,1,0.329051
binary,5,5,50,24,673,31.0,26.0,1,0.199344
binary,5,5,50,24,674,17.0,15.0,1,0.167668
binary,5,5,50,24,675,18.0,18.0,1,0.133533
binary,5,5,50,24,676,18.0,17.0,1,0.305699
binary,5,5,50,24,677,26.0,26.0,1,0.216108
binary,5,5,50,24,678,8.0,17.0,1,0.168935
binary,5,5,50,24,679,23.0,14.0,1,0.241469
binary,5,5,50,24,680,21.0,20.0,1,0.070438
binary,5,5,50,24,681,12.0,7.0,1,0.026006
binary,5,5,50,24,682,21.0,11.0,1,0.021714
binary,5,5,50,24,683,39.0,38.0,1,0.384873
binary,5,5,50,24,684,19.0,18.0,1,0.29494
binary,5,5,50,24,685,27.0,31.0,1,0.256671
binary,5,5,50,24,686,15.0,20.0,1,0.404718
binary,5,5,50,24,687,9.0,0.0,1,0.1035
binary,5,5,50,24,688,23.0,23.0,1,0.081294
binary,5,5,50,24,689,21.0,25.0,1,0.173607
binary,5,5,50,24,690,13.0,15.0,1,0.579163
binary,5,5,50,24,691,17.0,14.0,1,0.087629
binary,5,5,50,24,692,24.0,15.0,1,0.135439
binary,5,5,50,24,693,34.0,35.0,1,0.059827
binary,5,5,50,24,694,30.0,31.0,1,0.203985
binary,5,5,50,24,695,17.0,16.0,1,0.450771
binary,5,5,50,24,696,14.0,23.0,1,0.208176
binary,5,5,50,24,697,25.0,25.0,1,0.352539
binary,5,5,50,24,698,6.0,6.0,1,0.09207
binary,5,5,50,24,699,21.0,24.0,1,0.037085
binary,5,5,50,24,700,16.0,20.0,1,0.187875
binary,5,5,50,24,701,12.0,15.0,1,0.087793
binary,5,5,50,24,702,20.0,21.0,1,0.134826
binary,5,5,50,24,703,19.0,18.0,1,0.200261
binary,5,5,50,24,704,26.0,29.0,1,0.222458
binary,5,5,50,24,705,12.0,8.0,1,0.110134
binary,5,5,50,24,706,25.0,31.0,1,0.144894
binary,5,5,50,24,707,17.0,19.0,1,0.159576
binary,5,5,50,24,708,15.0,10.0,1,0.14794
binary,5,5,50,24,709,10.0,19.0,1,0.192718
binary,5,5,50,24,710,20.0,16.0,1,0.281142
binary,5,5,50,24,711,18.0,19.0,1,0.071497
binary,5,5,50,24,712,12.0,20.0,1,0.310779
binary,5,5,50,24,713,20.0,19.0,1,0.021624
binary,5,5,50,24,714,25.0,19.0,1,0.040433
binary,5,5,50,24,715,33.0,38.0,1,0.292303
binary,5,5,50,24,716,21.0,20.0,1,0.017749
binary,5,5,50,24,717,18.0,19.0,1,0.1452
binary,5,5,50,24,718,21.0,24.0,1,0.328175
binary,5,5,50,24,719,9.0,9.0,1,0.224469
binary,5,5,50,24,720,20.0,14.0,1,0.018025
binary,5,5,50,24,721,12.0,24.0,1,0.068717
binary,5,5,50,24,722,8.0,23.0,1,0.190306
binary,5,5,50,24,723,17.0,16.0,1,0.150145
binary,5,5,50,24,724,40.0,35.0,1,0.243959
binary,5,5,50,24,725,19.0,16.0,1,0.093996
binary,5,5,50,24,726,24.0,27.0,1,0.548492
binary,5,5,50,24,727,27.0,29.0,1,0.1013
binary,5,5,50,24,728,21.0,22.0,1,0.339828
binary,5,5,50,24,729,21.0,23.0,1,0.18484
binary,5,5,50,24,730,11.0,7.0,1,0.176481
binary,5,5,50,24,731,11.0,12.0,1,0.037213
binary,5,5,50,24,732,14.0,19.0,1,0.079784
binary,5,5,50,24,733,17.0,16.0,1,0.185947
binary,5,5,50,24,734,28.0,26.0,1,0.22587
binary,5,5,50,24,735,20.0,21.0,1,0.179286
binary,5,5,50,24,736,41.0,41.0,1,0.156061
binary,5,5,50,24,737,29.0,26.0,1,0.083078
binary,5,5,50,24,738,20.0,20.0,1,0.184351
binary,5,5,50,24,739,45.0,45.0,1,0.310991
binary,5,5,50,24,740,7.0,7.0,1,0.064103
binary,5,5,50,24,741,14.0,23.0,1,0.006665
binary,5,5,50,24,742,11.0,9.0,1,0.087545
binary,5,5,50,24,743,11.0,16.0,1,0.28877
binary,5,5,50,24,744,22.0,22.0,1,0.093834
binary,5,5,50,24,745,18.0,21.0,1,0.118459
binary,5,5,50,24,746,20.0,24.0,1,0.235846
binary,5,5,50,24,747,8.0,7.0,1,0.177231
binary,5,5,50,24,748,19.0,26.0,1,0.074681
binary,5,5,50,24,749,34.0,34.0,0,0.0
binary,5,5,50,24,750,19.0,19.0,1,0.435414
binary,5,5,50,24,751,23.0,31.0,1,0.19075
binary,5,5,50,24,752,29.0,26.0,1,0.328129
binary,5,5,50,24,753,42.0,38.0,1,0.271976
binary,5,5,50,24,754,0.0,8.0,1,0.368431
binary,5,5,50,24,755,24.0,24.0,1,0.329725
binary,5,5,50,24,756,24.0,21.0,1,0.044561
binary,5,5,50,24,757,23.0,7.0,1,0.082864
binary,5,5,50,24,758,12.0,7.0,1,0.050918
binary,5,5,50,24,759,27.0,27.0,1,0.141573
binary,5,5,50,24,760,12.0,16.0,1,0.160533
binary,5,5,50,24,761,27.0,27.0,1,0.144459
binary,5,5,50,24,762,14.0,17.0,1,0.158061
binary,5,5,50,24,763,15.0,14.0,1,0.047171
binary,5,5,50,24,764,17.0,20.0,1,0.410812
binary,5,5,50,24,765,28.0,21.0,1,0.256406
binary,5,5,50,24,766,8.0,12.0,1,0.222389
binary,5,5,50,24,767,35.0,35.0,1,0.036603
binary,5,5,50,24,768,11.0,16.0,1,0.357031
binary,5,5,50,24,769,20.0,12.0,1,0.301509
binary,5,5,50,24,770,26.0,28.0,1,0.794402
binary,5,5,50,24,771,31.0,39.0,1,0.030559
binary,5,5,50,24,772,23.0,14.0,1,0.259236
binary,5,5,50,24,773,18.0,25.0,1,0.357968
binary,5,5,50,24,774,13.0,19.0,1,0.064931
binary,5,5,50,24,775,23.0,29.0,1,0.258874
binary,5,5,50,24,776,17.0,25.0,1,0.316953
binary,5,5,50,24,777,6.0,0.0,1,0.123317
binary,5,5,50,24,778,22.0,23.0,1,0.245124
binary,5,5,50,24,779,10.0,16.0,1,0.326269
binary,5,5,50,24,780,12.0,24.0,1,0.321528
binary,5,5,50,24,781,20.0,27.0,1,0.187783
binary,5,5,50,24,782,11.0,21.0,1,0.677202
binary,5,5,50,24,783,9.0,8.0,1,0.160518
binary,5,5,50,24,784,17.0,15.0,1,0.058956
binary,5,5,50,24,785,14.0,18.0,1,0.198385
binary,5,5,50,24,786,24.0,29.0,1,0.199253
binary,5,5,50,24,787,36.0,43.0,1,0.221194
binary,5,5,50,24,788,15.0,21.0,1,0.202708
binary,5,5,50,24,789,10.0,11.0,1,0.157676
binary,5,5,50,24,790,23.0,20.0,1,0.036688
binary,5,5,50,24,791,28.0,27.0,1,0.13996
binary,5,5,50,24,792,30.0,32.0,1,0.348893
binary,5,5,50,24,793,13.0,13.0,1,0.21161
binary,5,5,50,24,794,10.0,20.0,1,0.608579
binary,5,5,50,24,795,16.0,18.0,1,0.177356
binary,5,5,50,24,796,16.0,13.0,1,0.190396
binary,5,5,50,24,797,23.0,25.0,1,0.071376
binary,5,5,50,24,798,10.0,14.0,1,0.130918
binary,5,5,50,24,799,25.0,14.0,1,0.145944
binary,5,5,50,24,800,28.0,32.0,1,0.362007
binary,5,5,50,24,801,13.0,15.0,1,0.062632
binary,5,5,50,24,802,12.0,11.0,1,0.0963
binary,5,5,50,24,803,17.0,18.0,1,0.250695
binary,5,5,50,24,804,18.0,17.0,1,0.127877
binary,5,5,50,24,805,21.0,21.0,1,0.150465
binary,5,5,50,24,806,19.0,11.0,1,0.109726
binary,5,5,50,24,807,16.0,16.0,1,0.287442
binary,5,5,50,24,808,22.0,24.0,1,0.123541
binary,5,5,50,24,809,24.0,24.0,1,0.118691
binary,5,5,50,24,810,0.0,8.0,1,0.423847
binary,5,5,50,24,811,27.0,31.0,1,0.171273
binary,5,5,50,24,812,18.0,22.0,1,0.226633
binary,5,5,50,24,813,16.0,18.0,1,0.417148
binary,5,5,50,24,814,28.0,29.0,1,0.349076
binary,5,5,50,24,815,22.0,20.0,1,0.094622
binary,5,5,50,24,816,25.0,28.0,1,0.258195
binary,5,5,50,24,817,18.0,18.0,1,0.190708
binary,5,5,50,24,818,21.0,21.0,1,0.540372
binary,5,5,50,24,819,24.0,24.0,1,0.241351
binary,5,5,50,24,820,22.0,19.0,1,0.071073
binary,5,5,50,24,821,18.0,18.0,1,0.055005
binary,5,5,50,24,822,29.0,28.0,1,0.008157
binary,5,5,50,24,823,17.0,23.0,1,0.29435
binary,5,5,50,24,824,17.0,25.0,1,0.312797
binary,5,5,50,24,825,10.0,0.0,1,0.217367
binary,5,5,50,24,826,24.0,24.0,1,0.168471
binary,5,5,50,24,827,23.0,23.0,1,0.353753
binary,5,5,50,24,828,6.0,7.0,1,0.192115
binary,5,5,50,24,829,23.0,19.0,1,0.216842
binary,5,5,50,24,830,13.0,22.0,1,0.108618
binary,5,5,50,24,831,19.0,17.0,1,0.196977
binary,5,5,50,24,832,29.0,28.0,1,0.07687
binary,5,5,50,24,833,41.0,41.0,1,0.565425
binary,5,5,50,24,834,26.0,22.0,1,0.172604
binary,5,5,50,24,835,11.0,18.0,1,0.153071
binary,5,5,50,24,836,36.0,34.0,1,0.192525
binary,5,5,50,24,837,27.0,27.0,1,0.078624
binary,5,5,50,24,838,28.0,28.0,1,0.047924
binary,5,5,50,24,839,23.0,23.0,1,0.081991
binary,5,5,50,24,840,6.0,7.0,1,0.270594
binary,5,5,50,24,841,24.0,20.0,1,0.138364
binary,5,5,50,24,842,27.0,26.0,1,0.353715
binary,5,5,50,24,843,23.0,30.0,1,0.953035
binary,5,5,50,24,844,17.0,11.0,0,0.0
binary,5,5,50,24,845,16.0,17.0,1,0.250747
binary,5,5,50,24,846,16.0,14.0,1,0.133732
binary,5,5,50,24,847,12.0,14.0,1,0.439513
binary,5,5,50,24,848,30.0,29.0,1,0.416709
binary,5,5,50,24,849,17.0,18.0,1,0.1746
binary,5,5,50,24,850,7.0,25.0,1,0.124849
binary,5,5,50,24,851,0.0,6.0,1,0.122519
binary,5,5,50,24,852,27.0,22.0,1,0.193293
binary,5,5,50,24,853,18.0,18.0,1,0.310965
binary,5,5,50,24,854,21.0,25.0,1,0.218638
binary,5,5,50,24,855,24.0,22.0,1,0.239117
binary,5,5,50,24,856,7.0,13.0,1,0.18629
binary,5,5,50,24,857,11.0,10.0,1,0.238876
binary,5,5,50,24,858,19.0,18.0,1,0.151639
binary,5,5,50,24,859,16.0,10.0,1,0.220255
binary,5,5,50,24,860,24.0,24.0,1,0.243236
binary,5,5,50,24,861,29.0,26.0,1,0.117789
binary,5,5,50,24,862,19.0,19.0,1,0.143862
binary,5,5,50,24,863,11.0,16.0,1,0.193165
binary,5,5,50,24,864,28.0,30.0,1,0.259097
binary,5,5,50,24,865,22.0,19.0,1,0.488775
binary,5,5,50,24,866,15.0,8.0,1,0.051898
binary,5,5,50,24,867,18.0,11.0,1,0.382674
binary,5,5,50,24,868,21.0,21.0,1,0.190047
binary,5,5,50,24,869,24.0,24.0,1,0.060055
binary,5,5,50,24,870,21.0,20.0,1,0.137546
binary,5,5,50,24,871,19.0,16.0,1,0.135006
binary,5,5,50,24,872,19.0,17.0,1,0.05676
binary,5,5,50,24,873,21.0,22.0,1,0.18001
binary,5,5,50,24,874,32.0,33.0,1,0.143902
binary,5,5,50,24,875,29.0,29.0,1,0.045681
binary,5,5,50,24,876,21.0,23.0,1,0.213208
binary,5,5,50,24,877,20.0,23.0,1,0.23268
binary,5,5,50,24,878,27.0,28.0,1,0.192257
binary,5,5,50,24,879,16.0,18.0,1,0.129257
binary,5,5,50,24,880,22.0,22.0,1,0.19781
binary,5,5,50,24,881,13.0,10.0,1,0.327918
binary,5,5,50,24,882,17.0,16.0,1,0.138256
binary,5,5,50,24,883,22.0,20.0,1,0.57321
binary,5,5,50,24,884,10.0,16.0,1,0.199006
binary,5,5,50,24,885,30.0,33.0,1,0.277719
binary,5,5,50,24,886,7.0,8.0,1,0.226938
binary,5,5,50,24,887,16.0,12.0,1,0.118164
binary,5,5,50,24,888,35.0,37.0,1,0.195859
binary,5,5,50,24,889,37.0,35.0,1,0.251646
binary,5,5,50,24,890,38.0,38.0,1,0.299002
binary,5,5,50,24,891,0.0,9.0,1,0.171466
binary,5,5,50,24,892,16.0,17.0,1,0.136737
binary,5,5,50,24,893,13.0,10.0,1,0.235131
binary,5,5,50,24,894,38.0,42.0,0,0.0
binary,5,5,50,24,895,34.0,34.0,1,0.20283
binary,5,5,50,24,896,30.0,31.0,1,0.488602
binary,5,5,50,24,897,22.0,20.0,1,0.249205
binary,5,5,50,24,898,28.0,29.0,1,0.160029
binary,5,5,50,24,899,9.0,8.0,1,0.218674
binary,5,5,50,24,900,27.0,20.0,1,0.407094
binary,5,5,50,24,901,8.0,13.0,1,0.171744
binary,5,5,50,24,902,15.0,15.0,1,0.201537
binary,5,5,50,24,903,19.0,11.0,1,0.405563
binary,5,5,50,24,904,40.0,38.0,1,0.253541
binary,5,5,50,24,905,24.0,9.0,1,0.161092
binary,5,5,50,24,906,13.0,14.0,1,0.04305
binary,5,5,50,24,907,18.0,18.0,1,0.049989
binary,5,5,50,24,908,20.0,16.0,1,0.317982
binary,5,5,50,24,909,20.0,6.0,1,0.178219
binary,5,5,50,24,910,18.0,10.0,1,0.249589
binary,5,5,50,24,911,41.0,40.0,0,0.0
binary,5,5,50,24,912,26.0,20.0,1,0.269005
binary,5,5,50,24,913,26.0,26.0,1,0.222494
binary,5,5,50,24,914,13.0,17.0,1,0.317802
binary,5,5,50,24,915,19.0,21.0,1,0.215205
binary,5,5,50,24,916,17.0,16.0,1,0.072515
binary,5,5,50,24,917,24.0,24.0,1,0.194865
binary,5,5,50,24,918,27.0,25.0,1,0.153758
binary,5,5,50,24,919,38.0,36.0,1,0.004434
binary,5,5,50,24,920,24.0,19.0,1,0.338647
binary,5,5,50,24,921,33.0,28.0,1,0.364265
binary,5,5,50,24,922,17.0,22.0,1,0.143584
binary,5,5,50,24,923,17.0,11.0,1,0.208207
binary,5,5,50,24,924,20.0,19.0,1,0.389017
binary,5,5,50,24,925,17.0,17.0,1,0.085145
binary,5,5,50,24,926,40.0,40.0,1,0.293508
binary,5,5,50,24,927,14.0,14.0,1,0.036239
binary,5,5,50,24,928,23.0,28.0,1,0.198061
binary,5,5,50,24,929,24.0,24.0,1,0.123498
binary,5,5,50,24,930,15.0,14.0,1,0.240347
binary,5,5,50,24,931,28.0,29.0,1,0.149973
binary,5,5,50,24,932,8.0,9.0,0,0.0
binary,5,5,50,24,933,16.0,16.0,1,0.25516
binary,5,5,50,24,934,31.0,30.0,1,0.043071
binary,5,5,50,24,935,21.0,21.0,1,0.289529
binary,5,5,50,24,936,20.0,27.0,1,0.117447
binary,5,5,50,24,937,12.0,10.0,1,0.169307
binary,5,5,50,24,938,23.0,18.0,1,0.19801
binary,5,5,50,24,939,6.0,10.0,1,0.257661
binary,5,5,50,24,940,17.0,8.0,1,0.153099
binary,5,5,50,24,941,34.0,32.0,1,0.165773
binary,5,5,50,24,942,28.0,27.0,1,0.378525
binary,5,5,50,24,943,20.0,23.0,1,0.11053
binary,5,5,50,24,944,18.0,21.0,1,0.080782
binary,5,5,50,24,945,26.0,31.0,1,0.195184
binary,5,5,50,24,946,26.0,35.0,1,0.256232
binary,5,5,50,24,947,18.0,18.0,1,0.019792
binary,5,5,50,24,948,12.0,26.0,1,0.069213
binary,5,5,50,24,949,40.0,40.0,1,0.104792
binary,5,5,50,24,950,33.0,33.0,1,0.128387
binary,5,5,50,24,951,20.0,21.0,1,0.068064
binary,5,5,50,24,952,0.0,8.0,1,0.219337
binary,5,5,50,24,953,7.0,23.0,1,0.188445
binary,5,5,50,24,954,12.0,8.0,1,0.300835
binary,5,5,50,24,955,30.0,29.0,1,0.126637
binary,5,5,50,24,956,30.0,33.0,1,0.182078
binary,5,5,50,24,957,14.0,18.0,1,0.167433
binary,5,5,50,24,958,19.0,21.0,1,0.268113
binary,5,5,50,24,959,31.0,30.0,1,0.194498
binary,5,5,50,24,960,7.0,6.0,1,0.333787
binary,5,5,50,24,961,0.0,12.0,1,0.309681
binary,5,5,50,24,962,20.0,21.0,1,0.140382
binary,5,5,50,24,963,32.0,32.0,1,9e-06
binary,5,5,50,24,964,16.0,23.0,1,0.365303
binary,5,5,50,24,965,36.0,34.0,1,0.167176
binary,5,5,50,24,966,19.0,18.0,1,0.135061
binary,5,5,50,24,967,33.0,33.0,1,0.063317
binary,5,5,50,24,968,25.0,19.0,1,0.436286
binary,5,5,50,24,969,11.0,13.0,1,0.151754
binary,5,5,50,24,970,13.0,18.0,1,0.08376
binary,5,5,50,24,971,23.0,26.0,1,0.081262
binary,5,5,50,24,972,19.0,14.0,1,0.114805
binary,5,5,50,24,973,27.0,31.0,1,0.121883
binary,5,5,50,24,974,32.0,32.0,1,0.200577
binary,5,5,50,24,975,18.0,24.0,1,0.132884
binary,5,5,50,24,976,22.0,24.0,1,0.067166
binary,5,5,50,24,977,6.0,14.0,1,0.139888
binary,5,5,50,24,978,16.0,15.0,1,0.461509
binary,5,5,50,24,979,12.0,12.0,1,0.067007
binary,5,5,50,24,980,31.0,37.0,1,0.217085
binary,5,5,50,24,981,0.0,8.0,1,0.124444
binary,5,5,50,24,982,7.0,6.0,1,0.257963
binary,5,5,50,24,983,23.0,24.0,1,0.281234
binary,5,5,50,24,984,29.0,17.0,1,0.020901
binary,5,5,50,24,985,13.0,18.0,1,0.169045
binary,5,5,50,24,986,36.0,29.0,1,0.177707
binary,5,5,50,24,987,37.0,37.0,1,0.322309
binary,5,5,50,24,988,33.0,34.0,1,0.472167
binary,5,5,50,24,989,16.0,22.0,1,0.149657
binary,5,5,50,24,990,24.0,24.0,1,0.211224
binary,5,5,50,24,991,26.0,24.0,1,0.10417
binary,5,5,50,24,992,19.0,20.0,1,0.11239
binary,5,5,50,24,993,7.0,0.0,1,0.3281
binary,5,5,50,24,994,24.0,24.0,1,0.163174
